1;LEITUNGSSTRANG;;;;;;;;;;;;;;;;;;;;;;;;;;
2;V1;12E_970_000_K;L0L;3775 (g);~;CU: 1495 (g);Al: 0 (g);;;;;;;;;;;;;;;;;;;;
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.;;;;
3;60;V.30A..SC_F28_XA.U31.1_16_1;XA.U31.1;DIAG;16;1-31H;N_907_479_01;-;XA.SC.1;SITR;28A;1-31H;N_906_844_01;-;N_037_003_0;-;-;193;RT/WS;0,5;V.30A..SC_F28;x;60;;;;
3;61;V.30A..SC_F27_XA.J519.3_66_1;XA.J519.3;BCM_A;66;1-33G;N_105_113_01;-;XA.SC.1;SITR;27A;1-31H;N_906_843_01;-;N_037_093_4;-;-;435;RT/VI;0,35;V.30A..SC_F27;x;61;;;;
3;62;S.53c..LSS_B184_1_1;B184;SP_LSSW;1;1-36H;-;-;XB.J519.3;BCM_B;61;1-33G;N_907_649_01;-;N_037_006_3;-;-;427;GN/RT;0,5;S.53c..LSS;x;62;;;;
3;63;V.30A..SA_D1_P4_1_2;P4;SP_30_01;1;1-32H;-;-;XA.SC.1;SITR;26B;1-31H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;63;;;;
3;64;V.30A..SA_D1_P4_1_4;P4;SP_30_01;1;1-32H;-;-;XA.SC.1;SITR;27B;1-31H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;64;;;;
3;65;V.30A..SA_D1_P4_1_3;P4;SP_30_01;1;1-32H;-;-;XA.SC.1;SITR;28B;1-31H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;65;;;;
3;66;V.30A..SA_D1_P4_1_1;P4;SP_30_01;1;1-32H;-;-;XA.SC.1;SITR;29B;1-31H;N_906_845_01;-;N_037_033_3;-;-;155;RT;1,5;V.30A..SA_D1;x;66;;;;
3;67;V.30A..SA_D1_P1_1_2;P1;SP_30_02;1;1-33H;-;-;XA.SC.1;SITR;32B;1-31H;N_906_845_01;-;N_037_033_3;-;-;178;RT;1,5;V.30A..SA_D1;x;67;;;;
3;68;V.30A..SA_D1_P3_1_3;P3;SP_30_04;1;1-32H;-;-;XA.SC.1;SITR;48B;1-31H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;68;;;;
3;69;V.30A..SC_F26_XA.SC.1_26A_1;XA.SC.1;SITR;26A;1-31H;N_906_843_01;-;493;SP_30A_KI;1;1-36G;-;-;N_037_093_1;-;-;462;RT/GE;0,35;V.30A..SC_F26;x;69;;;;
3;70;V.15..ZAS_E1_A192_1_1;A192;SP_15_07;1;1-39F;-;-;XA.SC.1;SITR;16B;1-31H;N_906_845_01;-;N_037_039_9;-;-;664;SW;1,5;V.15..ZAS_E1;x;70;;;;
3;71;V.15..ZAS_E1_A38_1_1;A38;SP_15_05;1;1-39F;-;-;XA.SC.1;SITR;2B;1-31H;N_906_845_01;-;N_037_039_9;-;-;694;SW;1,5;V.15..ZAS_E1;x;71;;;;
3;72;V.15..ZAS_E1_A38_1_3;A38;SP_15_05;1;1-39F;-;-;XA.SC.1;SITR;5B;1-31H;N_906_845_01;-;N_037_039_9;-;-;694;SW;1,5;V.15..ZAS_E1;x;72;;;;
3;73;V.15..ZAS_E1_A38_1_2;A38;SP_15_05;1;1-39F;-;-;XA.SC.1;SITR;1B;1-31H;N_906_845_01;-;N_037_039_9;-;-;694;SW;1,5;V.15..ZAS_E1;x;73;;;;
3;74;V.15A..SC2_F03_XA.K.1_31_1;XA.K.1;KI;31;1-37H;N_907_647_01;-;E23;SP_15A_MSG;1;1-36G;-;-;N_037_099_5;-;-;401;SW/BL;0,35;V.15A..SC2_F03;x;74;;;;
3;75;V.15A..SC_F05_Z40_1_1;Z40;SP_15A_GRA;1;1-39F;-;-;XA.SC.1;SITR;5A;1-31H;N_906_843_01;-;N_037_099_5;-;-;740;SW/BL;0,35;V.15A..SC_F05;x;75;;;;
3;76;V.15A..SC_F02_B444_1_1;B444;SP_15A_VK;1;1-35E;-;-;XA.SC.1;SITR;2A;1-31H;N_906_844_01;-;N_037_009_5;-;-;614;SW/BL;0,5;V.15A..SC_F02;x;76;;;;
3;77;V.15A..SC_F01_XA.SC.1_1A_1;XA.SC.1;SITR;1A;1-31H;N_906_843_01;-;E23;SP_15A_MSG;1;1-36G;-;-;N_037_099_5;-;-;442;SW/BL;0,35;V.15A..SC_F01;x;77;;;;
3;78;V.30A..SA_D1_P3_1_4;P3;SP_30_04;1;1-32H;-;-;XA.SC.1;SITR;49B;1-31H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;78;;;;
3;79;V.15A..SC_F16_B13_1_1;B13;SP_15A_S;1;1-34E;-;-;XA.SC.1;SITR;16A;1-31H;N_906_843_01;-;N_037_098_6;-;-;677;BR/GN;0,35;V.15A..SC_F16;x;79;;;;
3;80;O.WWL_V..SYS055_261_1_2;261;SP_WASSERLTG;1;1-27G;-;-;XW.V59.1;WL_DWP;1;1-11G;-;-;ZSB_KT_WL_V;-;-;2333;SW;6;O.WWL_V..SYS055;x;80;;;;
3;81;O.WWL_V..SYS055_261_1_1;261;SP_WASSERLTG;1;1-27G;-;-;XW.Z1000.1;WL_SPDL;1;1-28G;-;-;ZSB_KT_WL_V;-;-;171;SW;6;O.WWL_V..SYS055;x;81;;;;
3;82;O.WWL_V..SYS055_261_1_3;261;SP_WASSERLTG;1;1-27G;-;-;XW.Z1000.2;WL_SPDR;1;1-28G;-;-;ZSB_KT_WL_V;-;-;534;SW;6;O.WWL_V..SYS055;x;82;;;;
3;83;V.74..J680_A5_A145_1_1;A145;SP_75_2;1;1-36G;-;-;XA.SC.1;SITR;14B;1-31H;N_906_845_01;-;N_037_039_5;-;-;407;SW/BL;1,5;V.74..J680_A5;x;83;;;;
3;84;V.30A..SA_D1_P2_1_2;P2;SP_30_11;1;1-35F;-;-;A32;SP_30_21;1;1-30F;-;-;N_101_627_01;-;-;102;RT;10;V.30A..SA_D1;x;84;;;;
3;85;V.30A..SA_D1_B150_1_2;B150;SP_30_12;1;1-35G;-;-;A32;SP_30_21;1;1-30F;-;-;N_101_627_01;-;-;141;RT;10;V.30A..SA_D1;x;85;;;;
3;86;V.30A..SA_D1_P3_1_6;P3;SP_30_04;1;1-32H;-;-;B150;SP_30_12;1;1-35G;-;-;N_037_063_9;-;-;150;RT/SW;6;V.30A..SA_D1;x;86;;;;
3;87;V.30A..SA_D1_P2_1_3;P2;SP_30_11;1;1-35F;-;-;P1;SP_30_02;1;1-33H;-;-;N_037_063_3;-;-;144;RT;6;V.30A..SA_D1;x;87;;;;
3;88;V.30A..SA_D1_P2_1_1;P2;SP_30_11;1;1-35F;-;-;P4;SP_30_01;1;1-32H;-;-;N_037_063_3;-;-;167;RT;6;V.30A..SA_D1;x;88;;;;
3;89;V.30A..SA_D1_507_1_1;507;SP_30_03;1;1-31H;-;-;B150;SP_30_12;1;1-35G;-;-;N_037_063_3;-;-;171;RT;6;V.30A..SA_D1;x;89;;;;
3;90;V.30A..SA_D1_507_1_2;507;SP_30_03;1;1-31H;-;-;XA.SC.1;SITR;46B;1-31H;N_907_327_01;-;N_037_043_3;-;-;113;RT;2,5;V.30A..SA_D1;x;90;;;;
3;91;M.31..MB_K-M7_C1_234_1_2;234;SP_31C7_3;1;1-35E;-;-;136;SP_31C7_2;1;1-35F;-;-;N_037_028_8;-;-;100;BR;1;M.31..MB_K-M7_C1;x;91;;;;
3;92;V.15..ZAS_E1_A2_1_3;A2;SP_15_13;1;1-39F;-;-;A38;SP_15_05;1;1-39F;-;-;N_037_049_9;-;-;51;SW;2,5;V.15..ZAS_E1;x;92;;;;
