1;LEITUNGSSTRANG
2;V1;12E_970_000_K;L0L;3727 (g);~;CU: 1496 (g);Al: 0 (g)
0;Ltg-Nr.;Verbindung;von;Kurzname;Pin;xy;Kontakt;Dichtung;nach;Kurzname;Pin;xy;Kontakt;Dichtung;Leitung;Sonderltg.;Innenleiter;Länge;Farbe;Quer.;Pot.;V1;Ltg-Nr.
3;82;O.WWL_V.._XW.ZZ3.1.1_1_1;XW.ZZ3.1.1;WL_SPDR;1;1-28G;-;-;261;SP_WASSERLTG;1;1-27G;-;-;ZSB_KT_WL_V;-;-;534;SW;6;O.WWL_V..;x;82
3;83;V.87A..74_75_A145_1_2;A145;SP_75_2;1;1-35G;-;-;XA.SC.1;SITR;14B;1-30H;N_906_845_01;-;N_037_039_5;-;-;407;SW/BL;1,5;V.87A..74_75;x;83
3;84;V.30A..SA_D1_P2_1_3;P2;SP_30_11;1;1-35F;-;-;A32;SP_30_21;1;1-27F;-;-;N_101_627_01;-;-;102;RT;10;V.30A..SA_D1;x;84
3;85;V.30A..SA_D1_A32_1_1;A32;SP_30_21;1;1-27F;-;-;B150;SP_30_12;1;1-35G;-;-;N_101_627_01;-;-;141;RT;10;V.30A..SA_D1;x;85
3;86;V.30A..SA_D1_P3_1_4;P3;SP_30_04;1;1-31H;-;-;B150;SP_30_12;1;1-35G;-;-;N_037_063_9;-;-;150;RT/SW;6;V.30A..SA_D1;x;86
3;87;V.30A..SA_D1_P2_1_1;P2;SP_30_11;1;1-35F;-;-;P1;SP_30_02;1;1-31H;-;-;N_037_063_3;-;-;144;RT;6;V.30A..SA_D1;x;87
3;88;V.30A..SA_D1_P2_1_2;P2;SP_30_11;1;1-35F;-;-;P4;SP_30_01;1;1-31H;-;-;N_037_063_3;-;-;167;RT;6;V.30A..SA_D1;x;88
3;89;V.30A..SA_D1_507_1_3;507;SP_30_03;1;1-30H;-;-;B150;SP_30_12;1;1-35G;-;-;N_037_063_3;-;-;171;RT;6;V.30A..SA_D1;x;89
3;90;V.30A..SA_D1_507_1_4;507;SP_30_03;1;1-30H;-;-;XA.SC.1;SITR;46B;1-30H;N_907_327_01;-;N_037_043_3;-;-;113;RT;2,5;V.30A..SA_D1;x;90
3;91;M.31..MB_K-M7_C1_136_1_4;136;SP_31C7_2;1;1-35F;-;-;234;SP_31C7_3;1;1-35E;-;-;N_037_028_8;-;-;99;BR;1;M.31..MB_K-M7_C1;x;91
3;92;V.15..ZAS_E1_A2_1_1;A2;SP_15_13;1;1-40F;-;-;A38;SP_15_05;1;1-40F;-;-;N_037_049_9;-;-;51;SW;2,5;V.15..ZAS_E1;x;92
3;93;V.15..ZAS_E1_A2_1_2;A2;SP_15_13;1;1-40F;-;-;A192;SP_15_07;1;1-39F;-;-;N_037_049_9;-;-;81;SW;2,5;V.15..ZAS_E1;x;93
3;94;M.31..MB_K-M7_A1_192_1_1;192;SP_31A7_1;1;1-37J;-;-;XA.605.1;MB_LS;1;1-41F;N_017_516_5;-;N_037_048_8;-;-;1135;BR;2,5;M.31..MB_K-M7_A1;x;94
3;95;M.31..MB_K-M7_C1_96_1_3;96;SP_31C7_1;1;1-35J;-;-;136;SP_31C7_2;1;1-35F;-;-;N_037_038_8;-;-;501;BR;1,5;M.31..MB_K-M7_C1;x;95
3;96;M.31..MB_K-M7_C1_XC.44.1_1_1;XC.44.1;MB_7_3;1;1-40H;N_017_526_2;-;96;SP_31C7_1;1;1-35J;-;-;N_037_058_8;-;-;576;BR;4;M.31..MB_K-M7_C1;x;96
3;97;S.WW.._XB.E595.2_1_1;XB.E595.2;LSS_B;1;1-44F;N_907_649_01;-;B183;SP_WW;1;1-37F;-;-;N_037_016_0;-;-;510;GN/WS;0,75;S.WW..;x;97
3;98;M.31..MB_K-M12_B1_191_1_3;191;SP_31A7_2;1;1-35E;-;-;XB.E595.2;LSS_B;2;1-44F;N_907_649_01;-;N_037_018_8;-;-;824;BR;0,75;M.31..MB_K-M12_B1;x;98
3;99;V.15A..SC_F17_XA.SC.1_17A_1;XA.SC.1;SITR;17A;1-30H;N_906_844_01;-;XB.E595.2;LSS_B;3;1-44F;N_907_649_01;-;N_037_019_5;-;-;970;SW/BL;0,75;V.15A..SC_F17;x;99
3;100;S.FW_St1.._XB.E595.2_4_1;XB.E595.2;LSS_B;4;1-44F;N_907_649_01;-;XB.J519.3;BCM_B;27;1-32G;N_907_649_01;-;N_037_010_6;-;-;908;WS/GN;0,75;S.FW_St1..;x;100
3;101;S.FW_INT.._XB.E595.2_5_1;XB.E595.2;LSS_B;5;1-44F;N_907_649_01;-;XB.J519.3;BCM_B;62;1-32G;N_907_649_01;-;N_037_018_5;-;-;908;BR/BL;0,75;S.FW_INT..;x;101
3;102;S.FW_St2.._XB.E595.2_6_1;XB.E595.2;LSS_B;6;1-44F;N_907_649_01;-;XB.J519.3;BCM_B;53;1-32G;N_907_649_01;-;N_037_011_3;-;-;908;GE/RT;0,75;S.FW_St2..;x;102
3;103;S.53c..LSS_XB.E595.2_7_1;XB.E595.2;LSS_B;7;1-44F;N_907_649_01;-;B184;SP_LSSW;1;1-35G;-;-;N_037_016_3;-;-;904;GN/RT;0,75;S.53c..LSS;x;103
3;104;S.71a..SYS055_XC.E595.2_2_1;XC.E595.2;LSS_C;2;1-41E;N_907_647_01;-;XA.J519.3;BCM_A;29;1-29F;N_907_647_01;-;N_037_098_9;-;-;898;BR/SW;0,35;S.71a..SYS055;x;104
3;105;M.31..MB_K-M7_C1_XC.E595.2_1_1;XC.E595.2;LSS_C;1;1-41E;N_907_647_01;-;234;SP_31C7_3;1;1-35E;-;-;N_037_098_8;-;-;870;BR;0,35;M.31..MB_K-M7_C1;x;105
3;106;V.87A..74_75_A145_1_3;A145;SP_75_2;1;1-35G;-;-;XA.SC.1;SITR;36B;1-30H;N_907_327_01;-;N_037_039_5;-;-;407;SW/BL;1,5;V.87A..74_75;x;106
3;107;V.74..SC_F36_XA.SC.1_36A_1;XA.SC.1;SITR;36A;1-30H;N_907_327_01;-;XA.U1.1;ZIG;2;1-43E;N_907_327_01;-;N_037_033_1;-;-;1517;RT/GE;1,5;V.74..SC_F36;x;107
3;108;M.31..MB_K-M9_A1.1_B445_1_5;B445;SP_31BA1;1;1-41A;-;-;XA.U1.1;ZIG;1;1-43E;N_907_327_01;-;N_037_038_8;-;-;2030;BR;1,5;M.31..MB_K-M9_A1.1;x;108
3;109;V.30A..SC_F41_XA.SC.1_41A_1;XA.SC.1;SITR;41A;1-30H;N_907_327_01;-;XA.J519.3;BCM_A;16;1-29F;N_105_115_01;-;N_037_033_3;-;-;435;RT;1,5;V.30A..SC_F41;x;109
3;110;V.30A..SA_D1_P3_1_2;P3;SP_30_04;1;1-31H;-;-;XA.SC.1;SITR;41B;1-30H;N_907_327_01;-;N_037_043_9;-;-;134;RT/SW;2,5;V.30A..SA_D1;x;110
3;111;V.30A..SD_F10_XA.SD.1_10A_1;XA.SD.1;SITR_3;10A;1-37E;N_907_326_01;-;XA.J519.3;BCM_A;63;1-29F;N_105_117_01;-;N_037_011_3;-;-;563;GE/RT;0,75;V.30A..SD_F10;x;111
3;113;V.15A..SC_F20_L49_1_1;L49;SP_15A_ESP;1;1-40F;-;-;XC.E595.2;LSS_C;4;1-41E;N_907_647_01;-;N_037_095_7;-;-;975;BL/GR;0,35;V.15A..SC_F20;x;113
3;129;M.31..MB_K-M7_A1_XA.K.1_16_1;XA.K.1;KI;16;1-36H;N_907_647_01;-;191;SP_31A7_2;1;1-35E;-;-;N_037_098_8;-;-;676;BR;0,35;M.31..MB_K-M7_A1;x;129
3;130;M.31..MB_K-M7_D1_A102_1_1;A102;SP_31D7_1;1;1-31F;-;-;XD.44.1;MB_7_4;1;1-39H;N_017_526_2;-;N_037_058_8;-;-;921;BR;4;M.31..MB_K-M7_D1;x;130
3;132;S.ZVFS.._TTVL.1A1_20_1;TTVL.1A1;KS_TVL;20;1-35J;N_103_360_01;-;XA.J519.3;BCM_A;24;1-29F;N_907_647_01;-;N_037_097_9;-;-;642;GR/SW;0,35;S.ZVFS..;x;132
